 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1585,041172025_PRAS_DF4x_10x_Q4.jpg (red),16,396.375,1754.562,0.958,1.477,0.677,0.889
1586,041172025_PRAS_DF4x_10x_Q4.jpg (red),10,454.100,1754.000,0.887,1.544,0.648,0.769
1587,041172025_PRAS_DF4x_10x_Q4.jpg (red),28,409.107,1756.036,0.819,1.666,0.600,0.848
1588,041172025_PRAS_DF4x_10x_Q4.jpg (red),40,691.800,1757.950,0.953,1.291,0.774,0.870
1589,041172025_PRAS_DF4x_10x_Q4.jpg (red),38,800.921,1757.447,0.924,1.332,0.751,0.905
1590,041172025_PRAS_DF4x_10x_Q4.jpg (red),38,1866.816,1758.447,0.905,1.658,0.603,0.864
1591,041172025_PRAS_DF4x_10x_Q4.jpg (red),39,2148.167,1757.449,0.883,1.285,0.778,0.857
1592,041172025_PRAS_DF4x_10x_Q4.jpg (red),6,64.333,1756.333,1.000,1.291,0.775,0.800
1593,041172025_PRAS_DF4x_10x_Q4.jpg (red),78,269.885,1761.051,0.817,1.398,0.716,0.852
1594,041172025_PRAS_DF4x_10x_Q4.jpg (red),50,1385.920,1761.480,0.988,1.243,0.805,0.877
1595,041172025_PRAS_DF4x_10x_Q4.jpg (red),67,133.007,1762.485,0.948,1.241,0.806,0.893
1596,041172025_PRAS_DF4x_10x_Q4.jpg (red),31,1006.242,1760.694,0.738,1.512,0.662,0.795
1597,041172025_PRAS_DF4x_10x_Q4.jpg (red),13,62.577,1760.577,0.846,1.903,0.526,0.839
1598,041172025_PRAS_DF4x_10x_Q4.jpg (red),9,1844.500,1761.500,1.000,1.000,1.000,1.000
1599,041172025_PRAS_DF4x_10x_Q4.jpg (red),89,1996.646,1765.949,0.965,1.167,0.857,0.904
1600,041172025_PRAS_DF4x_10x_Q4.jpg (red),57,357.956,1766.149,1.000,1.037,0.965,0.950
1601,041172025_PRAS_DF4x_10x_Q4.jpg (red),129,1098.919,1769.438,0.757,1.743,0.574,0.854
1602,041172025_PRAS_DF4x_10x_Q4.jpg (red),28,2139.179,1764.857,1.000,1.297,0.771,0.903
1603,041172025_PRAS_DF4x_10x_Q4.jpg (red),134,1891.761,1769.739,0.778,1.534,0.652,0.856
1604,041172025_PRAS_DF4x_10x_Q4.jpg (red),79,2070.044,1768.690,0.828,1.655,0.604,0.893
1605,041172025_PRAS_DF4x_10x_Q4.jpg (red),65,1771.254,1770.546,0.767,1.704,0.587,0.807
1606,041172025_PRAS_DF4x_10x_Q4.jpg (red),63,1194.024,1772.087,0.983,1.117,0.895,0.900
1607,041172025_PRAS_DF4x_10x_Q4.jpg (red),30,1510.733,1770.100,0.929,1.448,0.691,0.845
1608,041172025_PRAS_DF4x_10x_Q4.jpg (red),45,1850.056,1770.678,0.907,1.174,0.852,0.909
1609,041172025_PRAS_DF4x_10x_Q4.jpg (red),24,685.708,1769.833,0.649,2.234,0.448,0.774
1610,041172025_PRAS_DF4x_10x_Q4.jpg (red),25,822.100,1770.460,0.714,2.345,0.426,0.758
1611,041172025_PRAS_DF4x_10x_Q4.jpg (red),27,1669.315,1773.204,0.857,1.554,0.644,0.871
1612,041172025_PRAS_DF4x_10x_Q4.jpg (red),58,127.948,1778.379,0.821,1.178,0.849,0.879
1613,041172025_PRAS_DF4x_10x_Q4.jpg (red),63,507.198,1778.611,0.943,1.159,0.863,0.913
1614,041172025_PRAS_DF4x_10x_Q4.jpg (red),72,2233.000,1778.111,0.781,1.728,0.579,0.823
1615,041172025_PRAS_DF4x_10x_Q4.jpg (red),35,1393.014,1777.843,0.947,1.389,0.720,0.886
1616,041172025_PRAS_DF4x_10x_Q4.jpg (red),119,259.929,1782.029,0.961,1.140,0.877,0.922
1617,041172025_PRAS_DF4x_10x_Q4.jpg (red),19,1298.237,1780.553,0.796,1.579,0.633,0.792
1618,041172025_PRAS_DF4x_10x_Q4.jpg (red),68,7.912,1786.691,0.752,1.246,0.802,0.810
1619,041172025_PRAS_DF4x_10x_Q4.jpg (red),96,1724.469,1785.698,0.911,1.294,0.773,0.932
1620,041172025_PRAS_DF4x_10x_Q4.jpg (red),64,1376.422,1785.031,0.958,1.275,0.784,0.921
1621,041172025_PRAS_DF4x_10x_Q4.jpg (red),23,1406.196,1782.630,0.730,2.366,0.423,0.836
1622,041172025_PRAS_DF4x_10x_Q4.jpg (red),19,2290.868,1790.974,0.640,2.791,0.358,0.776
1623,041172025_PRAS_DF4x_10x_Q4.jpg (red),56,1591.679,1792.054,0.967,1.105,0.905,0.911
1624,041172025_PRAS_DF4x_10x_Q4.jpg (red),31,511.435,1791.790,0.960,1.328,0.753,0.873
1625,041172025_PRAS_DF4x_10x_Q4.jpg (red),39,1111.038,1792.628,0.978,1.147,0.872,0.857
1626,041172025_PRAS_DF4x_10x_Q4.jpg (red),37,2284.392,1792.149,1.000,1.277,0.783,0.892
1627,041172025_PRAS_DF4x_10x_Q4.jpg (red),40,328.800,1792.925,0.691,1.684,0.594,0.777
1628,041172025_PRAS_DF4x_10x_Q4.jpg (red),162,1125.796,1797.654,0.940,1.015,0.985,0.915
